Episode,Kick_Speed,friction,variance_friction,Rewards,Stop_Distance
1484,50.18,0.81,0.19,-1014.54,-0.1
1485,51.07,0.5,0.23,-1036.52,-0.02
1493,47.23,0.54,0.19,-1022.31,-0.02
1497,55.6,0.76,0.21,-1027.42,-0.31
1499,54.89,0.85,0.31,-1032.08,-0.18
1512,50.73,0.8,0.23,-1020.08,-0.06
1513,53.66,0.71,0.18,-1022.54,-0.26
1515,43.93,0.76,0.22,-36.59,4.39
1521,47.7,0.64,0.16,-1012.68,-0.06
1535,62.33,0.83,0.2,-1030.34,-0.28
1536,46.06,0.99,0.26,-229.23,1.53
1546,41.9,0.75,0.28,-156.69,2.13
1551,43.24,0.5,0.23,-1023.94,-0.12
1554,47.46,0.87,0.28,-1016.7,-0.12
1555,54.41,0.76,0.24,-1029.08,-0.03
1556,49.65,0.84,0.27,-1022.77,-0.19
1559,44.09,0.78,0.28,-1013.57,-0.05
1562,44.79,0.71,0.22,-1012.53,-0.11
1564,45.77,0.5,0.22,-1026.03,-0.23
1567,47.49,0.7,0.28,-1022.65,-0.23
1571,40.73,0.7,0.28,-184.37,1.87
1573,39.78,0.44,0.22,-1016.9,-0.16
1578,41.78,0.51,0.22,-1014.4,-0.11
1583,61.24,0.38,0.11,-1055.67,-0.01
1584,45.14,0.7,0.27,-1018.35,-0.2
1590,46.78,0.62,0.24,-1025.03,-0.02
1595,55.14,0.54,0.21,-1039.33,-0.13
1600,44.74,0.61,0.15,-33.96,4.51
1604,44.98,0.58,0.22,-1020.06,-0.0
1605,44.41,0.55,0.19,-1017.38,-0.1
1612,50.85,0.86,0.24,-1019.63,-0.14
1614,42.48,0.59,0.17,-35.65,4.43
1616,45.99,0.65,0.29,-1024.04,-0.25
1619,56.64,0.58,0.2,-1035.02,-0.13
1623,49.3,0.76,0.28,-1025.33,-0.14
1629,55.11,0.65,0.35,-1044.27,-0.44
1630,50.9,0.6,0.15,-1019.34,-0.12
1632,54.62,0.99,0.2,-1015.91,-0.03
1647,54.8,0.73,0.15,-1018.84,-0.21
1649,56.19,0.56,0.15,-1030.01,-0.03
1650,45.28,0.57,0.29,-1027.98,-0.21
1652,47.29,0.51,0.17,-1023.26,-0.2
1654,36.75,0.38,0.29,-1019.72,-0.05
1656,45.8,0.61,0.15,-1010.91,-0.1
1658,45.93,0.91,0.23,-1008.8,-0.05
1661,43.11,0.33,0.25,-1037.74,-0.07
1665,42.41,0.68,0.22,-207.94,1.68
1666,40.32,0.72,0.32,-352.96,0.86
1667,42.89,0.6,0.23,-1013.39,-0.1
1669,51.93,0.72,0.24,-1027.61,-0.24
1679,48.78,0.74,0.25,-1024.33,-0.21
1680,50.47,0.71,0.24,-1024.7,-0.01
1681,44.52,0.49,0.28,-1029.71,-0.16
1683,45.37,0.61,0.2,-1017.37,-0.0
1684,41.88,0.47,0.15,-276.59,1.24
1688,52.48,0.41,0.25,-1049.73,-0.15
1689,49.34,0.87,0.21,-1014.07,-0.02
1692,43.05,0.62,0.18,-39.74,4.26
1696,50.08,0.68,0.19,-1020.21,-0.11
1698,49.11,0.7,0.15,-1013.02,-0.11
1701,42.99,0.51,0.28,-1023.74,-0.25
1703,58.41,0.68,0.12,-1021.35,-0.22
1706,40.29,0.52,0.22,-1012.54,-0.05
1709,47.71,0.71,0.28,-1025.63,-0.14
1710,58.16,0.7,0.16,-1025.88,-0.3
1713,51.25,0.77,0.25,-1025.34,-0.26
1718,49.43,1.01,0.2,-387.27,0.72
1721,43.26,0.75,0.2,-35.25,4.45
1728,45.15,0.72,0.2,-1010.17,-0.06
1729,42.05,0.58,0.27,-1018.61,-0.15
1732,52.92,0.58,0.15,-1025.2,-0.29
1740,47.74,0.62,0.16,-1013.91,-0.04
1748,46.67,0.66,0.27,-1025.02,-0.12
