Episode,Kick_Speed,NN_start_speed,CRS_speed,Rewards,Stop_Distance
296,40.311,39.558,31.915,-1127.658,-0.129
297,21.403,21.403,0.004,0,14.212
298,25.897,25.897,12.685,-1050.739,-0.029
299,34.534,34.534,24.954,-544.318,0.185
300,10.971,10.971,24.954,-244.642,77.497
301,21.205,21.205,24.954,-2.845,16.631
302,33.269,33.269,22.817,-1091.268,-0.048
303,2.568,2.568,22.817,-403.968,97.461
304,1.3,1.3,22.817,-423.853,98.541
305,31.806,31.12,21.012,-1084.049,-0.016
306,5.432,5.432,21.012,-413.615,93.001
307,16.746,16.746,21.012,-83.103,47.911
308,42.056,42.056,32.819,-1131.278,-0.025
309,1.715,1.715,32.819,-420.955,98.385
310,30.219,30.219,19.01,-1076.041,-0.251
311,36.055,36.055,26.699,-521.135,0.253
312,17.818,17.818,26.699,-49.682,38.284
313,23.516,23.516,6.289,-260.249,1.335
314,22.321,22.321,2.468,-1.577,9.291
315,15.818,15.818,2.468,-129.476,52.987
316,10.862,10.862,2.468,-243.812,77.439
317,16.249,16.249,2.468,-145.56,54.575
318,7.039,7.039,2.468,-340.659,88.776
319,25.471,25.471,12.75,-609.139,0.01
320,10.276,10.276,12.75,-227.336,76.266
321,37.11,37.11,27.613,-1110.452,-0.085
322,35.057,35.057,25.577,-1102.306,-0.12
323,44.739,44.739,36.405,-549.858,0.17
324,18.719,18.719,36.405,-50.845,33.542
325,18.918,18.918,36.405,-50.222,33.44
326,18.085,18.085,36.405,-46.664,37.814
327,7.329,7.329,36.405,-316.179,87.284
328,29.787,29.787,18.665,-611.961,0.003
329,42.802,42.802,33.358,-1133.433,-0.207
330,38.656,38.656,29.553,-598.002,0.039
331,5.247,5.005,29.553,-426.383,93.71
332,14.482,14.482,29.553,-189.131,63.296
333,43.068,43.068,34.937,-507.973,0.293
334,41.348,40.589,32.392,-604.539,0.022
335,23.244,23.244,6.449,-163.287,2.061
336,41.746,41.746,32.746,-1130.985,-0.418
337,23.484,23.484,7.622,-1030.487,-0.056
338,9.977,9.703,7.622,-269.279,79.195
339,40.248,40.248,31.51,-1126.04,-0.129
340,39.488,39.488,29.983,-1119.934,-0.104
341,33.446,33.446,23.912,-553.565,0.159
342,31.71,31.71,21.102,-1084.406,-0.12
343,25.339,25.339,11.597,-1046.386,-0.13
344,27.046,27.046,15.311,-1061.246,-0.054
345,24.478,23.877,9.897,-611.458,0.004
346,43.326,43.326,34.397,-520.431,0.255
347,3.633,3.633,34.397,-381.89,96.238
348,29.471,29.471,17.577,-1070.308,-0.122
349,7.498,7.498,17.577,-309.837,86.89
350,37.325,37.325,28.979,-1115.915,-0.215
351,9.841,9.841,28.979,-290.749,80.629
352,1.857,1.803,28.979,-412.28,97.915
353,31.235,31.235,20.147,-581.04,0.084
354,9.482,9.482,20.147,-284.009,80.184
355,44.344,44.344,35.39,-567.686,0.12
356,32.637,32.637,22.176,-1088.702,-0.116
357,40.372,40.372,31.871,-1127.482,-0.132
358,15.483,15.483,31.871,-110.064,50.964
359,23.239,23.239,6.467,-74.62,3.281
360,19.972,19.972,6.467,-20.814,22.797
361,16.269,16.269,6.467,-100.784,49.948
362,28.856,28.856,16.695,-1066.778,-0.159
363,11.083,11.083,16.695,-247.256,72.686
364,37.898,37.162,28.999,-1115.997,-0.129
365,30.187,30.187,18.729,-1074.917,-0.203
366,33.488,33.488,22.999,-1091.997,-0.202
367,17.105,17.105,22.999,-71.829,41.465
