Episode,Kick_Speed,NN_start_speed,CRS_speed,Rewards,Stop_Distance
476,14.197,14.197,2.839,-331.508,88.223
477,18.348,18.348,2.839,-309.912,81.876
478,31.905,31.905,2.839,-113.619,51.344
479,44.044,44.044,0.004,0,12.108
480,43.388,43.388,0.002,0,14.497
481,24.725,24.725,0.002,-202.789,69.344
482,19.509,19.509,0.002,-265.346,78.928
483,44.571,44.571,0.002,0,10.167
484,8.149,8.149,0.002,-439.961,94.455
485,43.05,43.05,0.002,-1.151,15.716
486,26.084,26.084,0.002,-164.618,66.251
487,25.563,25.563,0.002,-179.135,67.455
488,9.749,9.749,0.002,-420.793,93.401
489,43.607,42.833,1.725,-1.07,9.895
490,38.601,38.601,1.725,-36.483,31.016
491,27.229,27.229,1.725,-191.905,63.526
492,21.933,21.933,1.725,-213.204,75.237
493,36.424,36.424,1.725,-47.777,37.989
494,1.349,1.349,1.725,-423.885,98.543
495,35.164,35.164,1.725,-74.812,41.863
496,44.352,43.574,5.168,-1.848,9.043
497,31.081,31.081,5.168,-121.827,52.205
498,9.468,9.468,5.168,-425.692,93.672
499,2.658,2.658,5.168,-416.011,98.117
500,33.169,33.169,5.168,-69.739,46.266
501,13.646,13.646,5.168,-343.693,88.958
502,20.033,20.033,5.168,-264.796,78.891
503,38.814,38.814,5.168,-32.839,30.315
504,22.906,22.906,5.168,-255.158,73.255
505,36.991,36.991,5.168,-36.846,36.205
506,40.029,40.029,5.168,-14.624,26.254
507,26.737,26.737,5.168,-191.356,63.481
508,40.854,40.854,5.168,-23.356,23.443
509,43.98,43.98,0.002,0,12.341
510,14.189,14.189,0.002,-331.685,88.233
511,26.692,26.692,0.002,-207.723,64.817
512,32.552,32.552,0.002,-97.05,49.53
513,2.33,2.33,0.002,-418.655,98.261
514,38.199,38.199,0.002,-34.46,30.63
515,14.88,14.88,0.002,-316.099,87.279
516,25.375,25.375,0.002,-184.423,67.885
517,39.76,39.011,0.002,-11.45,25.407
518,36.544,36.544,0.002,-45.383,37.611
519,28.217,28.217,0.002,-163.496,61.097
520,42.129,41.365,0.002,-3.911,17.146
521,9.275,9.275,0.002,-428.91,93.849
522,4.354,4.354,0.002,-402.379,97.373
523,32.274,31.584,0.002,-91.066,48.846
524,8.252,8.042,0.002,-431.024,93.966
525,12.936,12.936,0.002,-358.943,89.864
526,4.864,4.864,0.002,-393.382,96.877
527,37.09,37.09,0.002,-35.047,35.896
528,33.758,33.758,0.002,-96.062,44.533
529,35.237,35.237,0.002,-61.691,40.063
530,16.93,16.93,0.002,-334.128,83.409
531,3.937,3.937,0.002,-406.12,97.578
532,24.071,24.071,0.002,-221.493,70.781
533,22.293,21.726,0.002,-258.324,73.481
534,36.656,36.656,0.002,-33.502,35.626
535,15.842,15.417,0.002,-282.108,85.136
536,22.045,22.045,0.002,-210.207,75.015
537,44.074,44.074,0.003,0,12.002
538,6.01,6.01,0.003,-394.713,96.951
539,33.736,33.736,0.003,-68.594,46.121
540,2.882,2.882,0.003,-414.324,98.026
541,25.493,25.493,0.003,-181.07,67.613
542,21.783,21.783,0.003,-217.37,75.543
543,23.14,23.14,0.003,-233.718,71.695
544,24.412,24.412,0.003,-197.262,68.91
545,43.391,43.391,-0.001,0,14.489
546,18.553,18.553,-0.001,-304.443,81.523
547,4.971,4.971,-0.001,-396.509,97.05
548,9.751,9.751,-0.001,-420.754,93.398
549,9.222,9.222,-0.001,-429.829,93.9
550,11.566,11.566,-0.001,-386.968,91.493
551,43.677,43.677,-0.004,0,13.452
552,18.484,18.484,-0.004,-306.343,81.646
553,29.137,29.137,-0.004,-137.843,58.76
554,34.906,34.906,-0.004,-80.833,42.647
555,7.53,7.53,-0.004,-373.144,95.746
556,40.509,40.509,-0.004,-28.353,24.629
557,28.67,28.67,-0.004,-136.609,58.644
558,39.761,39.761,-0.004,-18.264,27.161
559,28.876,28.876,-0.004,-145.015,59.429
560,15.305,15.305,-0.004,-294.879,85.951
561,10.43,10.43,-0.004,-408.513,92.715
562,41.216,41.216,-0.004,-12.401,20.377
563,14.1,14.1,-0.004,-333.723,88.357
564,14.302,14.302,-0.004,-329.173,88.081
565,19.456,19.456,-0.004,-280.271,79.935
566,28.654,28.654,-0.004,-137.027,58.683
567,35.081,35.081,-0.004,-76.773,42.121
568,20.418,20.418,-0.004,-254.319,78.171
569,41.24,40.481,-0.004,-12.137,20.291
570,9.624,9.362,-0.004,-406.485,92.601
571,19.264,19.264,-0.004,-272.008,79.38
572,18.178,18.178,-0.004,-314.419,82.164
573,21.273,21.273,-0.004,-217.458,75.549
574,28.66,28.66,-0.004,-151.052,59.982
575,23.46,23.46,-0.004,-239.153,72.096
576,15.464,15.464,-0.004,-291.094,85.711
577,26.716,26.716,-0.004,-207.018,64.761
578,38.605,38.605,-0.004,-36.428,31.005
579,20.948,20.948,-0.004,-240.025,77.172
580,6.654,6.654,-0.004,-380.086,96.137
581,2.993,2.993,-0.004,-413.704,97.992
582,3.055,3.055,-0.004,-413.171,97.963
583,19.188,19.188,-0.004,-287.528,80.417
584,6.35,6.35,-0.004,-389.398,96.656
585,5.179,5.179,-0.004,-394.48,96.938
586,4.545,4.545,-0.004,-400.606,97.276
587,16.423,16.423,-0.004,-280.017,85.001
