Episode,Kick_Speed,NN_start_speed,CRS_speed,location_of_patch,friction,Rewards,Stop_Distance
290,5.42,5.42,2.37,96.15,0.7,0,5.29
291,14.21,14.21,2.38,51.39,0.54,0,5.84
292,41.04,41.04,2.38,46.56,0.71,-52.37,28.79
293,24.51,24.51,2.39,78.66,0.27,0,6.02
294,21.87,21.87,2.36,36.3,0.46,0,5.86
295,10.12,10.12,2.38,14.06,0.47,0,5.92
296,9.84,9.84,2.38,6.69,0.34,0,6.03
297,18.74,18.74,2.39,63.92,0.56,0,5.98
298,30.67,30.67,2.39,30.37,0.65,-158.43,55.65
299,9.76,9.76,2.4,66.39,0.46,0,5.93
300,19.39,19.39,2.38,86.37,0.66,0,6.01
301,14.07,14.07,2.38,8.73,0.5,0,5.96
302,9.92,9.92,2.37,87.24,0.6,0,6.01
303,24.39,24.39,2.37,99.61,0.47,0,5.88
304,23.99,23.99,2.37,10.88,0.25,-233.07,71.68
305,5.96,5.96,2.38,10.7,0.75,0,5.98
306,8.89,8.89,2.38,33.11,0.42,0,5.94
307,7.55,7.55,2.4,93.35,0.62,0,5.19
308,29.57,29.57,2.38,97.87,0.1,0,6.0
309,24.56,24.56,2.39,96.89,0.57,0,5.96
310,7.74,7.74,2.4,50.19,0.49,0,6.02
311,30.16,30.16,2.39,37.42,0.59,0,6.0
312,29.27,29.27,2.39,11.99,0.57,-201.51,64.24
313,41.48,40.72,2.37,89.43,0.27,0,5.59
314,13.08,13.08,2.38,62.51,0.44,0,5.97
315,20.35,20.35,2.39,23.18,0.47,0,5.99
316,26.87,26.87,2.37,40.82,0.57,0,5.91
317,31.87,31.87,2.37,38.82,0.46,-147.77,49.79
318,16.95,16.95,2.38,32.95,0.54,0,5.82
319,17.44,17.44,2.39,12.99,0.67,0,5.97
320,22.1,22.1,2.36,24.94,0.54,0,5.84
321,14.0,13.63,2.39,13.86,0.61,0,5.99
322,42.1,42.1,2.39,3.79,0.43,-39.92,26.65
323,7.26,7.26,2.37,85.73,0.85,0,6.0
324,18.08,17.58,2.36,62.11,0.55,0,5.99
325,32.07,32.07,2.36,53.25,0.29,-51.48,33.56
326,39.16,38.41,2.36,7.18,0.51,-42.38,32.13
327,14.43,14.43,2.38,63.57,0.41,0,5.77
328,33.54,33.54,2.4,63.36,0.5,0,6.03
329,26.78,26.78,2.41,22.73,0.5,0,6.02
330,42.49,42.49,2.41,10.66,0.5,-85.4,38.23
331,26.71,26.71,2.41,2.92,0.51,-200.5,59.23
332,18.0,18.0,2.39,4.89,0.51,0,6.0
333,42.05,42.05,2.39,46.79,0.38,-38.34,26.36
334,28.33,28.33,2.39,32.29,0.37,-125.92,47.63
335,10.34,10.34,2.41,67.97,0.64,0,6.02
336,23.49,23.49,2.41,24.72,0.39,-120.86,52.12
337,31.42,31.42,2.41,60.6,0.41,-51.62,28.67
338,26.85,26.85,2.4,58.43,0.42,0,5.99
339,34.55,34.55,2.4,8.18,0.61,-163.05,56.06
340,36.87,36.87,2.4,50.56,0.43,-62.08,35.12
341,10.66,10.66,2.38,96.75,0.27,0,5.8
342,25.5,25.5,2.4,42.96,0.44,0,5.91
343,17.14,17.14,2.37,65.96,0.5,0,6.01
344,8.55,8.55,2.38,98.19,0.33,0,5.97
345,12.72,12.72,2.41,52.27,0.47,0,5.92
346,30.11,30.11,2.41,68.35,0.4,0,6.03
347,24.67,24.67,2.41,27.16,0.39,-108.96,50.93
348,24.71,24.71,2.41,3.26,0.54,-293.25,75.79
349,10.69,10.69,2.38,5.34,0.61,0,6.02
350,36.71,36.71,2.38,5.33,0.49,-144.3,54.36
351,6.78,6.78,2.38,10.86,0.57,0,5.96
352,9.83,9.83,2.4,93.01,0.66,0,5.25
353,15.78,15.78,2.41,4.63,0.25,0,6.0
354,30.13,30.13,2.41,6.78,0.48,-205.63,64.57
355,25.02,25.02,2.41,36.32,0.4,-102.07,45.09
356,9.49,9.49,2.37,93.99,0.37,-29.56,4.72
357,13.27,12.9,2.39,49.83,0.56,0,5.95
358,42.4,42.4,2.38,83.18,0.55,0,5.93
359,9.17,9.17,2.38,18.2,0.24,0,5.92
360,5.82,5.82,2.36,79.61,0.55,0,6.0
361,12.09,12.09,2.38,21.64,0.57,0,5.95
362,43.38,43.38,2.38,36.73,0.39,-29.82,24.71
363,16.03,15.6,2.36,82.34,0.77,0,5.99
364,31.94,31.94,2.39,80.02,0.6,0,5.98
365,30.76,30.76,2.39,3.95,0.55,-215.72,65.34
366,33.7,33.7,2.39,67.26,0.34,-26.25,23.97
367,15.59,15.59,2.38,28.01,0.29,0,5.99
368,22.33,22.33,2.38,31.06,0.4,-133.18,48.36
369,17.97,17.97,2.37,30.47,0.58,0,6.02
370,21.28,21.28,2.36,37.81,0.54,0,5.98
371,25.01,25.01,2.38,30.98,0.64,0,5.97
372,12.13,12.13,2.39,10.47,0.26,0,5.88
373,23.98,23.98,2.39,17.68,0.26,-171.49,56.8
374,22.42,22.42,2.39,21.07,0.34,-143.0,54.24
375,28.85,28.85,2.38,75.61,0.32,0,5.81
376,8.88,8.61,2.37,27.08,0.49,0,6.03
377,41.74,41.74,2.38,82.85,0.47,0,6.07
378,20.83,20.83,2.39,64.25,0.71,0,5.99
379,24.65,24.05,2.4,89.54,0.23,0,5.5
380,21.1,21.1,2.4,69.11,0.32,-20.93,22.79
381,13.27,13.27,2.4,77.67,0.42,0,5.86
382,35.63,35.63,2.4,8.56,0.46,-131.72,53.18
383,22.79,22.79,2.4,88.48,0.38,0,6.2
384,36.44,36.44,2.37,91.62,0.49,0,5.0
385,35.2,35.2,2.37,43.31,0.32,-72.24,41.58
386,26.44,26.44,2.4,54.16,0.91,0,5.98
387,6.16,6.16,2.37,22.32,0.83,0,5.94
388,10.71,10.71,2.4,47.65,0.73,0,5.99
389,25.05,24.44,2.39,83.66,0.46,0,6.02
390,41.42,41.42,2.39,93.83,0.62,0,5.18
391,26.23,26.23,2.38,84.69,0.55,0,5.94
392,9.74,9.74,2.38,73.36,0.57,0,6.0
393,33.08,33.08,2.38,45.21,0.29,-93.26,39.2
394,36.24,36.24,2.39,84.52,0.45,0,5.96
395,27.81,27.81,2.39,1.14,0.39,-242.98,72.38
396,8.58,8.58,2.36,20.63,0.5,0,5.97
397,30.65,30.65,2.41,52.3,0.62,0,5.96
398,35.83,35.83,2.38,70.69,0.54,0,5.93
399,16.93,16.93,2.38,43.46,0.64,0,6.03
400,16.31,16.31,2.38,9.03,0.42,0,5.93
401,6.03,5.76,2.38,45.4,0.5,0,5.89
402,26.36,26.36,2.37,85.66,0.71,0,5.98
